_id,mese,anno,codice_ente,descrizione_ente,provincia_sede,regione_sede,attivazioni,cessazioni,RATA,aggregation_time,qualifica,note,fonte_dato,3descrizione
,,2024,966,ANSFISA - AGENZIA NAZIONALE PER LA SICUREZZA DELLE FERROVIE E DELLE INFRASTRUTTURE STRADALI E AUTOSTRADALI,RM,11,,2,202409,2025-06-18T16:15:20.148346,Operatore,,,ANSFISA - AGENZIA NAZIONALE PER LA SICUREZZA DELLE FERROVIE E DELLE INFRASTRUTTURE STRADALI E AUTOSTRADALI
,11,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,BO,7,0,9,202311,2025-06-18T16:15:20.148346,Impiegato,,,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
,12,2024,12,MINISTERO DELL'INTERNO,,14,1,2,202412,2025-06-18T16:15:20.148346,,,,MINISTERO DELL'INTERNO
,5,2024,12,MINISTERO DELL'INTERNO,UD,5,2,2,202405,2025-06-18T16:15:20.148346,Funzionario,,,MINISTERO DELL'INTERNO
,5,2024,954,ISPETTORATO NAZIONALE DEL LAVORO,AV,14,0,1,202405,2025-06-18T16:15:20.148346,,,,ISPETTORATO NAZIONALE DEL LAVORO
,1,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,BN,14,0,2,202401,2025-06-18T16:15:20.148346,,,,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
,1,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,RO,4,21,9,202401,2025-06-18T16:15:20.148346,Impiegato,,,MINISTERO DELL'ISTRUZIONE E DEL MERITO
,6,2024,9,MINISTERO DELLA GIUSTIZIA,FC,7,7,1,202406,2025-06-18T16:15:20.148346,Dirigente,,,MINISTERO DELLA GIUSTIZIA
,12,2023,9,MINISTERO DELLA GIUSTIZIA,PN,5,4,2,202312,2025-06-18T16:15:20.148346,Impiegato,,,MINISTERO DELLA GIUSTIZIA
,11,2024,19,MINISTERO UNIVERSITA' E RICERCA,AQ,12,132,35,202410,2025-06-18T16:15:20.148346,Funzionario,,,MINISTERO UNIVERSITA' E RICERCA
,5,2024,22,AGENZIA DELLE ENTRATE,VI,4,0,5,202405,2025-06-18T16:15:20.148346,Dirigente,,,AGENZIA DELLE ENTRATE
,8,2024,14,MINISTERO DELLA CULTURA,MC,10,0,2,202408,2025-06-18T16:15:20.148346,,,,MINISTERO DELLA CULTURA
,3,2023,9,MINISTERO DELLA GIUSTIZIA,FI,8,,16,202303,2025-06-18T16:15:20.148346,Dirigente,,,MINISTERO DELLA GIUSTIZIA
,,2023,954,ISPETTORATO NAZIONALE DEL LAVORO,CZ,17,0,1,202303,2025-06-18T16:15:20.148346,Funzionario,,,ISPETTORATO NAZIONALE DEL LAVORO
,11,2024,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,VR,4,2,0,202411,2025-06-18T16:15:20.148346,Impiegato,,,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI
,11,2024,,AGENZIA DELLE ENTRATE,,5,1,2,202411,2025-06-18T16:15:20.148346,Funzionario,,,AGENZIA DELLE ENTRATE
,4,2024,4056,AGENZIA PER L'ITALIA DIGITALE,,11,5,4,202404,2025-06-18T16:15:20.148346,,,,AGENZIA PER L'ITALIA DIGITALE
,9,2023,12,MINISTERO DELL'INTERNO,MT,16,0,1,202309,2025-06-18T16:15:20.148346,Dirigente,,,MINISTERO DELL'INTERNO
,3,2024,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,BG,3,2,2,202403,2025-06-18T16:15:20.148346,Operatore,,,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI
,10,2024,22,AGENZIA DELLE ENTRATE,TS,5,1,2,202410,2025-06-18T16:15:20.148346,,,,AGENZIA DELLE ENTRATE
,6,2024,21,AGENZIA DELLE DOGANE,CA,19,0,1,202406,2025-06-18T16:15:20.148346,,,,AGENZIA DELLE DOGANE
,8,2024,21,AGENZIA DELLE DOGANE,CT,18,0,1,202408,2025/06/18,,,,AGENZIA DELLE DOGANE
,6,2024,14,MINISTERO DELLA CULTURA,VV,17,2,0,202406,18-06-25,Impiegato,,,MINISTERO DELLA CULTURA
