mese,anno,codice_ente,descrizione_ente,provincia_sede,regione_sede,attivazioni,cessazioni,RATA,aggregation_time,qualifica,3descrizione
4,2023,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,AG,18,6,6,202304,2025-06-18,Unknown,MINISTERO DELL'ISTRUZIONE E DEL MERITO
12,2023,19,MINISTERO UNIVERSITA' E RICERCA,LT,11,58,3,202312,2025-06-18,Unknown,MINISTERO UNIVERSITA' E RICERCA
10,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,PZ,16,0,1,202310,2025-06-18,Funzionario,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
10,2024,1,MINISTERO DELL'ECONOMIA E FINANZE,ME,18,1,0,202410,2025-06-18,Funzionario,MINISTERO DELL'ECONOMIA E FINANZE
10,2023,19,MINISTERO UNIVERSITA' E RICERCA,AV,14,111,41,202310,2025-06-18,Funzionario,MINISTERO UNIVERSITA' E RICERCA
11,2022,1,MINISTERO DELL'ECONOMIA E FINANZE,BS,3,1,0,202411,2025-06-18,Operatore,MINISTERO DELL'ECONOMIA E FINANZE
7,2024,9,MINISTERO DELLA GIUSTIZIA,VR,4,16,2,202407,2025-06-18,Impiegato,MINISTERO DELLA GIUSTIZIA
4,2023,12,MINISTERO DELL'INTERNO,VT,11,1,0,202304,2025-06-18,Dirigente,MINISTERO DELL'INTERNO
7,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,UD,5,141,96,202407,2025-06-18,Funzionario,MINISTERO DELL'ISTRUZIONE E DEL MERITO
5,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,AT,1,0,1,202405,2025-06-18,Unknown,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
12,2023,10,MINISTERO DELLA SALUTE,PA,18,0,1,202312,2025-06-18,Dirigente,MINISTERO DELLA SALUTE
11,2024,12,MINISTERO DELL'INTERNO,PA,18,0,6,202411,2025-06-18,Dirigente,MINISTERO DELL'INTERNO
8,2023,9,MINISTERO DELLA GIUSTIZIA,AT,1,0,2,202308,2025-06-18,Dirigente,MINISTERO DELLA GIUSTIZIA
7,2024,5,Unknown,RM,11,24,12,202407,2025-06-18,Operatore,PRESIDENZA DEL CONSIGLIO DEI MINISTRI
7,2024,22,AGENZIA DELLE ENTRATE,SI,8,0,2,202405,2025-06-18,Unknown,AGENZIA DELLE ENTRATE
2,2024,19,MINISTERO UNIVERSITA' E RICERCA,MC,10,9,2,202312,2025-06-18,Dirigente,MINISTERO UNIVERSITA' E RICERCA
9,2024,19,MINISTERO UNIVERSITA' E RICERCA,BZ,20,0,1,202409,2025-06-18,Dirigente,MINISTERO UNIVERSITA' E RICERCA
2,2024,19,MINISTERO UNIVERSITA' E RICERCA,TR,9,1,2,202402,2025-06-18,Unknown,MINISTERO UNIVERSITA' E RICERCA
9,2024,954,ISPETTORATO NAZIONALE DEL LAVORO,CR,3,3,0,202409,2025-06-18,Operatore,ISPETTORATO NAZIONALE DEL LAVORO
