id,rata,ente,descrizione,cod_tipoimposta,tipo_imposta,cod_imposta,imposta,spesa,aggregation_time,area_geografica
6731590c568f146446645d06,202410,25,ARCHIVI NOTARILI,4,Varie,11,Prestiti,28183.24,2024-11-11,Isole
6731590c568f146444a34ea0,202410,28,CONSIGLIO PER RIC. IN AGRICOLTURA E ANALISI ECONOMIA AGRARIA,2,Erariali,5,IRPEF,1345926.53,2024-11-11,Centro
66e0ee65f458af54a5dbc840,202408,31,INVALSI,2,Erariali,7,Addizionali Regionali,15424.05,2024-11-09,Sud
663ec5f43f62190222cfb6f5,202404,925,AUTORITA' GARANTE PER L'INFANZIA E L'ADOLESCENZA AGIA,3,Previdenziali,14,,9116.33,2024-11-05,Nord
668f34079b1c1405cffd2cba,202406,43,SCUOLA NAZIONALE DELL'AMMINISTRAZIONE,2,Erariali,7,Addizionali Regionali,1723.48,2024-11-07,Nord
663ec5f43f62190222cfb6b7,202404,14,MINISTERO PER I BENI E LE ATTIVITA' CULTURALI,4,Varie,,Altre voci,116345.72,2024-11-05,Isole
65ee5ac7eb0f334c8d2b5b3d,202402,912,ORDINE DEI MEDICI CHIRURGHI E DEGLI ODONTOIATRI DELLA PROVINCIA DI LATINA,3,Previdenziali,13,Previdenziali a carico del datore di lavoro,,2024-11-03,Centro
66e0ee65f458af54a5dbc811,202408,974,AGENZIA INDUSTRIE DIFESA AID,3,Previdenziali,13,Previdenziali a carico del datore di lavoro,358807.53,2024-11-09,Centro
66e0ee64f458af54a5dbc7c7,202408,1,MINISTERO DELL'ECONOMIA E FINANZE,4,Varie,12,Altre voci,2389488.31,2024-11-09,Isole
65ee5ac7eb0f334c8d2b5b16,202402,954,ISPETTORATO NAZIONALE DEL LAVORO,4,Varie,10,Ritenute Sindacali,29572.67,2024-11-03,Centro
659f41739b1c14690c5c414f,202312,10,MINISTERO DELLA SALUTE,1,Netto,15,Netto,20913693.3,2024-11-01,Centro
663ec5f43f62190222cfb737,202404,5,PRESIDENZA DEL CONSIGLIO DEI MINISTRI,4,Varie,9,Riscatti,8041.61,2024-11-05,Isole
661738e6262bc367cf0df838,202403,27,AGENZIA NAZIONALE PER I GIOVANI - ANG,2,Erariali,5,IRPEF,12467.31,2024-11-04,Centro
6667a4b7262bc331bdcd0b8b,202405,11,"MINISTERO DELL'AGRICOLTURA, DELLA SOVRANITA' ALIMENTARE E DELLE FORESTE",4,Varie,9,Riscatti,13561.42,2024-11-06,
671a780d568f1404768e2bbf,,23,AGENZIA PER LE EROGAZIONI IN AGRICOLTURA,4,Varie,11,Prestiti,5532.28,2024-10-24,Sud
66bf604a0377f64b679f2875,202407,977,COMUNE DI SERRENTI,4,Varie,11,Prestiti,1855.9,2024-08-16,Sud
671a7806e28f8d6b0a19d1c6,202409,834,COMUNE DI MONTORFANO,2,Erariali,5,IRPEF,3614.83,2024-10-24,Sud
6667a4c1262bc331baee743a,,966,ANSFISA - AGENZIA NAZIONALE PER LA SICUREZZA DELLE FERROVIE E DELLE INFRASTRUTTURE STRADALI E AUTOSTRADALI,4,Varie,12,Altre voci,7368.55,2024-11-06,Sud
661738e7262bc367cf0df875,202403,7,MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE,2,Erariali,5,,3169613.5,2024-11-04,Centro
668f34080377f62206882bce,,17,CONSIGLIO DI STATO E T.A.R.,4,Varie,12,Altre voci,11837.31,2024-11-07,Nord
6731590c568f146439948f95,202410,938,ENTE PARCO NAZIONALE DELLA MAJELLA,2,Erariali,5,IRPEF,11951.91,2024-11-11,Centro
65ee5ac7eb0f334c5c36757a,202402,894,ENTE PARCO NAZIONALE DELL'ALTA MURGIA,3,Previdenziali,14,Previdenziali a carico del lavoratore,893.97,2024-11-03,Nord
661738e5262bc367a2350458,202403,973,,3,Previdenziali,14,Previdenziali a carico del lavoratore,487.89,2024-11-04,Centro
6667a4b7262bc331baee733f,,23,AGENZIA PER LE EROGAZIONI IN AGRICOLTURA,4,Varie,11,Prestiti,5092.77,2024-11-06,
668f34080377f62206882bc8,202406,977,COMUNE DI SERRENTI,2,Erariali,7,Addizionali Regionali,997.46,2024-11-07,Nord
