_id,mese,anno,codice_ente,descrizione_ente,provincia_sede,regione_sede,attivazioni,cessazioni,RATA,aggregation-time,qualifica,note,fonte_dato,Provincia Sede,CODICE ENTE,3descrizione,regione%sede,att ivazioni
6852cb039952cb647ef38d49,12,2023,14,MINISTERO DELLA CULTURA,?,15,4,0,202312,2025-06-18T16:15:20.148346,,,,LE,14,MINISTERO DELLA CULTURA,15,4
6852caf1205349164bea731d,6,2023,9,MINISTERO DELLA GIUSTIZIA,GR,08,2,1,202306,2025-06-18T16:15:20.148346,,,,GR,9,MINISTERO DELLA GIUSTIZIA,08,2
6852caf6205349164bebace6,11,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,RG,18,0,2,202311,2025-06-18T16:15:20.148346,Impiegato,,,RG,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,18,0
6852caeb205349164be964f4,12,2024,22,AGENZIA DELLE ENTRATE,OR,19,10,0,12/2024,2025-06-18T16:15:20.148346,,,,OR,22,AGENZIA DELLE ENTRATE,19,10
6852caeb205349164be96597,9,2024,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,BA,15,6,0,202409,2025-06-18T16:15:20.148346,,,,BA,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,15,6
6852caf2205349164bea9ede,11,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,PE,12,1,5,202311,2025-06-18T16:15:20.148346,,,,PE,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,12,1
6852caf8205349164bec02f6,12,2023,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,PC,07,0,2,202312,2025-06-18T16:15:20.148346,Funzionario,,,PC,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,07,0
6852caf1205349164bea85ce,9,23,11,"MINISTERO DELL'AGRICOLTURA, DELLA SOVRANITA' ALIMENTARE E DELLE FORESTE",MO,07,12 unità,0,202309,2025-06-18T16:15:20.148346,,,,MO,11,"MINISTERO DELL'AGRICOLTURA, DELLA SOVRANITA' ALIMENTARE E DELLE FORESTE",07,12 unità
6852cb018d61d50c63e4455d,12,2023,22,AGENZIA DELLE ENTRATE,AN,10,1,2,202302,2025-06-18T16:15:20.148346,,,,AN,22,AGENZIA DELLE ENTRATE,10,1
6852cb018d61d50c63e4459b,8,2023,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,PC,07,0,1383,202308,2025-06-18T16:15:20.148346,Impiegato,,,PC,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,07,0
6852cad98d61d50c63e43b4d,8,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,AP,10,144,750,202408,2025-06-18T16:15:20.148346,,,,AP,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,10,144
6852cae9205349164be90688,9,2023,21,AGENZIA DELLE DOGANE,PI,08,10,1,202309,18-06-25,Funzionario,,,PI,21,AGENZIA DELLE DOGANE,08,10
6852cb008d61d50c63e43c29,9,2023,15,AVVOCATURA GENERALE DELLO STATO,NA,14,1,1,202409,2025-06-18T16:15:20.148346,Funzionario,,,NA,15,AVVOCATURA GENERALE DELLO STATO,14,1
6852caea205349164be91590,9,2023,1,MINISTERO DELL'ECONOMIA E FINANZE,BS,03,1,1,202309,2025-06-18T16:15:20.148346,Funzionario,,,BS,1,MINISTERO DELL'ECONOMIA E FINANZE,03,1
